calendar_month,commits,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,threshold_label,commit_ai_fraction
2024-11,180,73,0.38399378273928775,0.3368773765008796,medium,0.40555555555555556
2024-12,180,67,0.35753769345061537,0.33155619630349775,medium,0.37222222222222223
2025-01,180,84,0.4461660612346187,0.3942042681104348,medium,0.4666666666666667
2025-02,180,73,0.38844306659984884,0.327720154066663,medium,0.40555555555555556
2025-03,180,69,0.3430876110504092,0.32294823482036045,medium,0.38333333333333336
2025-04,180,74,0.38643842387964517,0.3492255239638666,medium,0.4111111111111111
2025-05,180,77,0.3972734563200264,0.35720338194361756,medium,0.42777777777777776
2025-06,180,84,0.42607489122192405,0.39567613338478574,medium,0.4666666666666667
2025-07,180,83,0.43797528941894226,0.3854679754257258,medium,0.46111111111111114
2025-08,180,66,0.3452322937088942,0.31372304643550597,medium,0.36666666666666664
2025-09,180,72,0.3685794522812682,0.34844857016847003,medium,0.4
2025-10,180,68,0.33635772913887596,0.32253176043585424,medium,0.37777777777777777
2025-11,180,69,0.36085490868913844,0.32857902512246,medium,0.38333333333333336
2025-12,179,80,0.4122373941496278,0.3724867006177212,medium,0.44692737430167595
